14600,1.4240,1.9594,1.312548e-04,1000.17,8190.62
14800,1.5252,1.9507,1.277560e-04,1001.74,8177.80
15000,1.5047,1.9588,1.242842e-04,1000.25,8189.98
15200,2.1761,1.9390,1.208417e-04,1000.23,8190.08
15400,1.6452,1.9412,1.174310e-04,1000.21,8190.27
15600,1.4916,1.9376,1.140547e-04,1000.16,8190.66
15800,1.9452,1.9332,1.107152e-04,1000.24,8190.01
16000,1.5890,1.9366,1.074148e-04,1000.17,8190.58
16200,1.4454,1.9330,1.041560e-04,1000.08,8191.32
16400,1.4641,1.9345,1.009411e-04,1000.14,8190.86
16600,1.4897,1.9233,9.777237e-05,1000.19,8190.45
16800,2.0060,1.9159,9.465218e-05,1000.10,8191.14
17000,2.1631,1.9166,9.158275e-05,1000.09,8191.23
17200,1.7271,1.9195,8.856629e-05,1001.59,8178.98
17400,1.7179,1.9166,8.560499e-05,1361.87,6015.25
17600,2.0299,1.9105,8.270097e-05,1355.80,6042.18
17800,1.5295,1.9131,7.985634e-05,1354.10,6049.77
18000,2.0368,1.9049,7.707315e-05,8866.63,923.91
18200,2.0741,1.9032,7.435340e-05,1258.07,6511.54
18400,2.1714,1.8983,7.169905e-05,1095.67,7476.70
18600,2.0846,1.8992,6.911203e-05,960.92,8525.18
18800,2.0240,1.8965,6.659420e-05,960.93,8525.03
19000,2.1090,1.8922,6.414737e-05,960.99,8524.56
19200,2.1209,1.8902,6.177332e-05,963.93,8498.53
19400,1.9511,1.8891,5.947375e-05,959.97,8533.62
19600,1.5410,1.8877,5.725032e-05,961.91,8516.41
19800,1.5531,1.8873,5.510464e-05,960.76,8526.62
20000,2.0809,1.8851,5.303826e-05,983.11,8332.70
20200,1.4805,1.8838,5.105266e-05,1000.17,8190.62
20400,1.5288,1.8827,4.914929e-05,1001.84,8176.99
20600,1.4539,1.8790,4.732951e-05,1000.25,8189.92
20800,1.3530,1.8781,4.559463e-05,1000.86,8184.98
21000,1.5923,1.8800,4.394591e-05,1000.13,8190.93
21200,2.0957,1.8747,4.238455e-05,1000.27,8189.78
21400,1.5492,1.8737,4.091165e-05,1000.21,8190.25
21600,2.0701,1.8707,3.952829e-05,1000.21,8190.29
21800,1.6388,1.8695,3.823547e-05,1000.14,8190.88
22000,1.4568,1.8698,3.703412e-05,1000.18,8190.55
22200,1.4343,1.8669,3.592510e-05,1000.18,8190.49
22400,2.0117,1.8655,3.490922e-05,1000.05,8191.60
22600,2.1095,1.8649,3.398720e-05,1000.16,8190.70
22800,1.3491,1.8647,3.315972e-05,1000.06,8191.51
23000,2.0050,1.8653,3.242737e-05,1000.21,8190.24
23200,1.5206,1.8654,3.179068e-05,996.33,8222.21
23400,2.0038,1.8640,3.125011e-05,960.58,8528.21
23600,1.3939,1.8635,3.080604e-05,960.70,8527.10
23800,1.5472,1.8648,3.045881e-05,960.81,8526.16
24000,1.3583,1.8631,3.020866e-05,960.34,8530.35
24200,2.0857,1.8607,3.005576e-05,960.56,8528.38
24400,1.5445,1.8611,3.000024e-05,962.50,8511.15
24413,2.0068,1.8605,3.000000e-05,1016.19,8061.46
